Group,Team,FIFA Ranking,Final_Standing
A,Qatar,50,Group Stage
A,Ecuador,44,Group Stage
A,Senegal,18,Top 16
A,Netherlands,8,Top 8
B,England,5,Top 8
B,Iran,20,Group Stage
B,United States,16,Top 16
B,Wales,19,Group Stage
C,Argentina,3,Winner
C,Saudi Arabia,51,Group Stage
C,Mexico,13,Group Stage
C,Poland,26,Top 16
D,France,4,Runners-Up
D,Australia,38,Top 16
D,Denmark,10,Group Stage
D,Tunisia,30,Group Stage
E,Spain,7,Top 16
E,Costa Rica,31,Group Stage
E,Germany,11,Group Stage
E,Japan,24,Top 16
F,Belgium,2,Group Stage
F,Canada,41,Group Stage
F,Morocco,22,Fourth Place
F,Croatia,12,Third Place
G,Brazil,1,Top 8
G,Serbia,21,Group Stage
G,Switzerland,15,Top 16
G,Cameroon,43,Group Stage
H,Portugal,9,Top 8
H,Ghana,61,Group Stage
H,Uruguay,14,Group Stage
H,South Korea,28,Top 16
